origin_id,origin_label,origin_tier,origin_class,dest_id,dest_label,dest_tier,dest_class,network_miles,max_stop_gap_miles,stop_gap_status,stop_count,line_changes,route_path,stop_path,dominant_tier,freight_relay_p95_h,freight_full_i20_p95_h,freight_sla_window,passenger_bus_p95_h,passenger_av_p95_h,air_door_to_door_h,passenger_competitive_with_air,rail_competition_note,evidence_status
BLAINE,Blaine/Vancouver,T1,national_terminal,SEA,Seattle,T1,national_transfer_hub,115,115,sla-stop-rhythm-ok,2,0,I-5,BLAINE;SEA,T1,2.4,2.1,6h local,3.6,2.0,2.7,time-competitive,corridor-specific-rail-check-needed,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,POR,Portland,T1,service_stop,286,172,sla-stop-rhythm-ok,3,0,I-5,BLAINE;SEA;POR,T1,6.2,5.3,6h local,6.7,4.3,3.1,near-competitive-short-haul,corridor-specific-rail-check-needed,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,SAC,Sacramento,T1,national_transfer_hub,865,260,long-gap-review,6,0,I-5,BLAINE;SEA;POR;MEDFORD;REDDING;SAC,T1,18.7,16.0,24h overnight,17.2,12.0,4.2,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,MEDFORD,Medford,T1,service_stop,547,260,long-gap-review,4,0,I-5,BLAINE;SEA;POR;MEDFORD,T1,11.8,10.1,12h half-day,11.4,7.8,3.6,not-time-competitive,corridor-specific-rail-check-needed,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,REDDING,Redding,T1,service_stop,692,260,long-gap-review,5,0,I-5,BLAINE;SEA;POR;MEDFORD;REDDING,T1,15.0,12.8,24h overnight,14.1,9.7,3.9,not-time-competitive,corridor-specific-rail-check-needed,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,CENTRAL_VALLEY,Central Valley,T1,service_stop,1051,260,long-gap-review,7,0,I-5,BLAINE;SEA;POR;MEDFORD;REDDING;SAC;CENTRAL_VALLEY,T1,22.8,19.4,24h overnight,20.6,14.5,4.6,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,LA,Los Angeles,T1,transfer_hub,1293,260,long-gap-review,8,0,I-5,BLAINE;SEA;POR;MEDFORD;REDDING;SAC;CENTRAL_VALLEY;LA,T1,28.0,23.9,24h overnight,25.0,17.7,5.1,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,SDTJ,San Diego/Tijuana,T1,national_terminal,1440,260,long-gap-review,9,0,I-5,BLAINE;SEA;POR;MEDFORD;REDDING;SAC;CENTRAL_VALLEY;LA;SDTJ,T1,31.2,26.6,36h next-day,27.7,19.7,5.4,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,PHX,Phoenix,T1,service_stop,1714,306,long-gap-review,10,1,I-5;I-10,BLAINE;SEA;POR;MEDFORD;REDDING;SAC;CENTRAL_VALLEY;LA;PALM_SPRINGS;PHX,T1,37.5,31.9,36h next-day,33.0,23.6,5.9,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,PALM_SPRINGS,Palm Springs,T1,service_stop,1409,260,long-gap-review,9,1,I-5;I-10,BLAINE;SEA;POR;MEDFORD;REDDING;SAC;CENTRAL_VALLEY;LA;PALM_SPRINGS,T1,30.9,26.3,36h next-day,27.5,19.5,5.3,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,TUCSON,Tucson,T1,service_stop,1840,306,long-gap-review,11,1,I-5;I-10,BLAINE;SEA;POR;MEDFORD;REDDING;SAC;CENTRAL_VALLEY;LA;PALM_SPRINGS;PHX;TUCSON,T1,40.2,34.2,36h next-day,35.3,25.2,6.2,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,SHOW_LOW,Show Low,T2,service_stop,1867,306,long-gap-review,11,2,I-5;I-10;US70,BLAINE;SEA;POR;MEDFORD;REDDING;SAC;CENTRAL_VALLEY;LA;PALM_SPRINGS;PHX;SHOW_LOW,T1,41.1,35.0,36h next-day,36.1,25.8,6.2,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,ELP,El Paso,T1,national_transfer_hub,2152,312,long-gap-review,12,1,I-5;I-10,BLAINE;SEA;POR;MEDFORD;REDDING;SAC;CENTRAL_VALLEY;LA;PALM_SPRINGS;PHX;TUCSON;ELP,T1,46.9,40.0,48h two-day,41.0,29.4,6.8,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,SAT,San Antonio,T1,national_transfer_hub,2677,307,long-gap-review,15,7,I-5;I-90;US95;I-84;I-70;I-25;US287;I-35,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;WICHITA_FALLS;DAL;SAT,T1,60.4,51.2,72h three-day,52.6,37.6,7.9,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,LRD,Laredo,T1,national_terminal,2849,307,long-gap-review,16,7,I-5;I-90;US95;I-84;I-70;I-25;US287;I-35,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;WICHITA_FALLS;DAL;SAT;LRD,T1,64.2,54.4,72h three-day,55.7,39.9,8.2,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,HOU,Houston*,T1,national_transfer_hub,2900,307,long-gap-review,16,8,I-5;I-90;US95;I-84;I-70;I-25;US287;I-35;I-10,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;WICHITA_FALLS;DAL;SAT;HOU,T1,65.6,55.6,72h three-day,57.0,40.8,8.3,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,BEAUMONT,Beaumont,T1,service_stop,2991,307,long-gap-review,17,8,I-5;I-90;US95;I-84;I-70;I-25;US287;I-35;I-10,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;WICHITA_FALLS;DAL;SAT;HOU;BEAUMONT,T1,67.6,57.3,72h three-day,58.7,42.0,8.5,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,LAFAYETTE,Lafayette,T1,service_stop,3140,307,long-gap-review,18,8,I-5;I-90;US95;I-84;I-70;I-25;US287;I-35;I-10,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;WICHITA_FALLS;DAL;SAT;HOU;BEAUMONT;LAFAYETTE,T1,70.9,60.1,72h three-day,61.4,44.0,8.8,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,NOLA,New Orleans,T1,service_stop,3279,307,long-gap-review,19,8,I-5;I-90;US95;I-84;I-70;I-25;US287;I-35;I-10,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;WICHITA_FALLS;DAL;SAT;HOU;BEAUMONT;LAFAYETTE;NOLA,T1,73.9,62.6,72h three-day,63.9,45.8,9.1,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,HATTIESBURG,Hattiesburg,T2,service_stop,3284,307,long-gap-review,18,11,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;US70;I-30;I-22;I-59,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;FORT_SMITH;LITTLE_ROCK;MEM;BHM_APPROACH;HATTIESBURG,T1,75.0,63.4,72h three-day,65.1,46.5,9.1,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,TALLAHASSEE,Tallahassee,T1,service_stop,3547,307,long-gap-review,19,12,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;US70;I-30;I-22;I-65;I-10,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;FORT_SMITH;LITTLE_ROCK;MEM;BHM_APPROACH;MOBILE;TALLAHASSEE,T1,81.0,68.5,72h three-day,70.2,50.2,9.6,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,JAX,Jacksonville,T1,national_transfer_hub,3732,307,long-gap-review,20,12,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;US70;I-30;I-22;I-65;I-10,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;FORT_SMITH;LITTLE_ROCK;MEM;BHM_APPROACH;MOBILE;TALLAHASSEE;JAX,T1,85.0,71.9,72h three-day,73.6,52.7,10.0,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,MIA,Miami,T1,national_terminal,3949,307,long-gap-review,22,12,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;US70;I-30;I-22;I-20;I-75,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;FORT_SMITH;LITTLE_ROCK;MEM;BHM_APPROACH;ATL;MACON;GAINESVILLE;TAMPA;MIA,T1,89.8,76.0,>72h source-gated,77.5,55.6,10.4,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,DAYTONA,Daytona Beach,T1,service_stop,3834,307,long-gap-review,21,13,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;US70;I-30;I-22;I-65;I-10;I-95,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;FORT_SMITH;LITTLE_ROCK;MEM;BHM_APPROACH;MOBILE;TALLAHASSEE;JAX;DAYTONA,T1,87.6,74.1,>72h source-gated,75.8,54.2,10.2,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,DAL,Dallas,T2,national_transfer_hub,2378,307,long-gap-review,14,6,I-5;I-90;US95;I-84;I-70;I-25;US287,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;WICHITA_FALLS;DAL,T1,53.7,45.5,48h two-day,46.8,33.4,7.3,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,ABILENE,Abilene,T2,service_stop,2581,307,long-gap-review,15,7,I-5;I-90;US95;I-84;I-70;I-25;US287;US80,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;WICHITA_FALLS;DAL;ABILENE,T1,58.4,49.5,72h three-day,50.9,36.3,7.7,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,SHV,Shreveport,T1,service_stop,2589,307,long-gap-review,15,7,I-5;I-90;US95;I-84;I-70;I-25;US287;I-20,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;WICHITA_FALLS;DAL;SHV,T1,58.6,49.6,72h three-day,51.0,36.4,7.7,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,BHM_APPROACH,Birmingham,T2,national_transfer_hub,3037,307,long-gap-review,17,10,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;US70;I-30;I-22,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;FORT_SMITH;LITTLE_ROCK;MEM;BHM_APPROACH,T1,69.3,58.6,72h three-day,60.2,43.0,8.6,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,ATL,Atlanta,T1,national_transfer_hub,3201,307,long-gap-review,18,11,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;US70;I-30;I-22;I-20,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;FORT_SMITH;LITTLE_ROCK;MEM;BHM_APPROACH;ATL,T1,73.2,61.9,72h three-day,63.6,45.4,8.9,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,COLUMBIA,Columbia,T1,service_stop,3430,307,long-gap-review,19,11,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;US70;I-30;I-22;I-20,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;FORT_SMITH;LITTLE_ROCK;MEM;BHM_APPROACH;ATL;COLUMBIA,T1,78.2,66.1,72h three-day,67.7,48.4,9.4,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,FLO,Florence,T1,transfer_hub,3517,307,long-gap-review,20,11,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;US70;I-30;I-22;I-20,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;FORT_SMITH;LITTLE_ROCK;MEM;BHM_APPROACH;ATL;COLUMBIA;FLO,T1,80.1,67.8,72h three-day,69.3,49.6,9.5,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,MIN,Minneapolis,T1,national_transfer_hub,3151,307,long-gap-review,17,8,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;I-35,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;WIC;KC;DSM;MIN,T1,71.0,60.2,72h three-day,61.6,44.1,8.8,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,DSM,Des Moines,T1,transfer_hub,2873,307,long-gap-review,16,8,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;I-35,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;WIC;KC;DSM,T1,65.1,55.1,72h three-day,56.5,40.4,8.2,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,IOWA_CITY,Iowa City,T1,service_stop,3001,307,long-gap-review,17,9,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;I-35;I-80,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;WIC;KC;DSM;IOWA_CITY,T1,68.2,57.7,72h three-day,59.2,42.3,8.5,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,KC,Kansas City,T1,national_transfer_hub,2662,307,long-gap-review,15,8,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40;I-35,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC;WIC;KC,T1,60.5,51.2,72h three-day,52.7,37.6,7.8,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,OKC,Oklahoma City,T1,national_transfer_hub,2270,307,long-gap-review,13,7,I-5;I-90;US95;I-84;I-70;I-25;US287;I-40,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;AMA;OKC,T1,51.6,43.7,48h two-day,45.2,32.2,7.0,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,BARSTOW,Barstow,T2,national_transfer_hub,1400,260,long-gap-review,9,1,I-5;I-15,BLAINE;SEA;POR;MEDFORD;REDDING;SAC;CENTRAL_VALLEY;LA;BARSTOW,T1,30.7,26.1,36h next-day,27.3,19.4,5.3,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
BLAINE,Blaine/Vancouver,T1,national_terminal,ABQ,Albuquerque,T2,service_stop,1967,291,long-gap-review,12,5,I-5;I-90;US95;I-84;I-70;I-25,BLAINE;SEA;SPK;LEWISTON;BOI;TWIN_FALLS;SLC;GRAND_JUNCTION;DEN;COLORADO_SPRINGS;PUEBLO;ABQ,T1,44.4,37.6,48h two-day,39.0,27.7,6.4,not-time-competitive,freight-rail-wins-bulk-road-wins-express,heuristic-planning
