corridor,endpoint_start,endpoint_end,endpoint_status,stop_count,drawn_stop_count,transfer_stop_count,shared_stop_count,shared_stop_corridors,shared_segment_count,shared_segment_corridors,service_action,qualification_basis,review_flag
I-10,LA,JAX,qualified,17,17,8,3,I-5;I-35;I-95,0,,keep,distinct-backbone-service,ok
I-20,DAL,FLO,qualified,10,10,6,4,I-35;I-40;I-75;I-95,0,,keep,distinct-backbone-service,ok
I-35,MIN,LRD,qualified,10,10,7,6,I-10;I-20;I-40;I-70;I-80;I-90,0,,keep,distinct-backbone-service,ok
I-5,BLAINE,SDTJ,qualified,10,10,6,4,I-10;I-84;I-80;I-90,0,,keep,distinct-backbone-service,ok
I-70,SLC,DC,qualified,13,13,8,5,I-35;I-84;I-75;I-80;I-95,0,,keep,distinct-backbone-service,ok
I-75,TOL,MIA,qualified,12,12,8,6,I-20;I-40;I-70;I-80;I-90;I-95,0,,keep,distinct-backbone-service,ok
I-84,POR,SLC,qualified,5,5,3,3,I-5;I-70;I-80,0,,keep,distinct-backbone-service,ok
I-40,BARSTOW,BEN,qualified,16,16,12,4,I-20;I-35;I-75;I-95,1,I-95,overlap-review,shared-backbone-segment-needs-policy,overlap-review
I-80,SAC,NYC,qualified,15,15,9,7,I-5;I-35;I-84;I-70;I-75;I-90;I-95,1,I-90,overlap-review,shared-backbone-segment-needs-policy,overlap-review
I-90,SEA,BOS,qualified,21,21,9,5,I-5;I-35;I-75;I-80;I-95,1,I-80,overlap-review,shared-backbone-segment-needs-policy,overlap-review
I-95,BOS,MIA,qualified,13,13,10,7,I-10;I-20;I-40;I-70;I-75;I-80;I-90,1,I-40,overlap-review,shared-backbone-segment-needs-policy,overlap-review
