corridor,trunk,start_trunk,end_trunk,color_mode,service_class,split_anchor,split_anchor_offset_pct,unstopped_t1_contact_count,unstopped_t1_contacts,close_parallel_count,close_parallel_corridors,service_label,stop_count,drawn_stop_count,transfer_stop_count,schematic_length_px,min_x,min_y,max_x,max_y,label_density_per_100px,review_flag
I-25,I-90,I-90,I-40,split-parent,transfer-spine,DEN,2,0,,0,,High Plains,9,9,6,800,620,236,782,902,1.12,dense-transfer-review
I-49,I-20,I-20,I-35,split-parent,transfer-spine,FORT_SMITH,5,0,,0,,Ozarks,5,5,5,475,1128,627,1221,1048,1.05,dense-transfer-review
US30,I-70,I-70,I-80,split-parent,long-connector,OMAHA,12,0,,0,,Lincoln Highway,8,8,3,1781,543,402,2131,531,0.45,long-connector-review
US6,I-70,I-70,I-80,split-parent,long-connector,OMAHA,6,0,,0,,Central Plains,5,5,3,1164,543,450,1573,567,0.43,long-connector-review
US90,I-10,I-10,I-95,split-parent,long-connector,GULFPORT,1,0,,0,,Gulf Local,4,4,4,959,975,1152,1858,1248,0.42,long-connector-review
US83,I-90,I-90,I-10,split-parent,long-connector,RAPID_CITY,20,0,,0,,Dakota Spine,5,5,4,1451,812,267,1250,1204,0.34,long-connector-review
US95,I-84,I-84,I-90,split-parent,compact-service,LEWISTON,18,0,,0,,Inland Northwest,3,3,2,165,344,192,412,327,1.82,ok
I-22,I-40,I-40,I-20,split-parent,compact-service,TUPELO,7,0,,0,,Memphis-Birmingham,3,3,2,213,1378,895,1534,1003,1.41,ok
I-495,I-95,I-95,I-95,single-parent,compact-service,,0,0,,0,,Capital Beltway,2,2,2,150,2144,665,2294,665,1.33,ok
I-15,I-5,I-5,I-70,split-parent,connector,ST_GEORGE,2,0,,0,,Inland West,7,7,3,542,326,531,543,960,1.29,ok
I-59,I-10,I-10,I-75,split-parent,connector,BHM_APPROACH,15,0,,0,,Birmingham Spur,5,5,1,411,1367,909,1629,1187,1.22,ok
US287,I-35,I-35,I-70,split-parent,connector,DALHART,5,0,,0,,Front Range,7,7,3,597,764,597,1076,1033,1.17,ok
I-29,I-80,I-80,I-35,split-parent,connector,SIOUX_FALLS,16,0,,0,,Upper Missouri,6,6,4,520,1088,216,1267,496,1.15,ok
I-37,I-10,I-10,I-10,single-parent,compact-service,,0,0,,0,,Corpus Christi,2,2,2,201,975,1204,1147,1277,0.99,ok
I-85,I-20,I-20,I-95,split-parent,connector,CLT,3,0,,0,,Charlotte Crescent,5,5,3,534,1683,745,2116,988,0.94,ok
I-76,I-80,I-80,I-95,split-parent,connector,PITTSBURGH,8,0,,0,,Pennsylvania,4,4,4,442,1847,451,2205,582,0.90,ok
I-30,I-35,I-35,I-40,split-parent,connector,TEXARKANA,11,0,,0,,Arkansas Link,4,4,4,449,1069,895,1378,1091,0.89,ok
I-84,I-5,I-5,I-70,split-parent,connector,BOI,0,0,,0,,Snake River,5,5,2,571,199,201,543,531,0.88,ok
I-77,I-40,I-40,I-80,split-parent,connector,PITTSBURGH,20,0,,0,,Appalachian North,5,5,4,616,1847,481,2025,876,0.81,ok
I-24,I-40,I-40,I-75,split-parent,connector,NASHVILLE,3,0,,0,,Nashville,3,3,3,427,1378,771,1711,895,0.70,ok
I-44,I-40,I-40,I-69,split-parent,connector,STL,3,0,,0,,St. Louis Link,5,5,3,882,1004,450,1643,849,0.57,ok
I-81,I-40,I-40,I-95,split-parent,transfer-spine,WYTHEVILLE,21,0,,0,,Knoxville-New York,6,6,5,661,1711,538,2225,826,0.91,transfer-complexity-review
I-65,I-10,I-10,I-75,split-parent,transfer-spine,NASHVILLE,12,0,,0,,Birmingham,5,5,5,586,1477,632,1660,1124,0.85,transfer-complexity-review
US80,I-35,I-35,I-20,split-parent,transfer-spine,LITTLE_ROCK,3,0,,0,,Old South,8,8,7,1109,918,829,1683,1033,0.72,transfer-complexity-review
US70,I-10,I-10,I-40,split-parent,transfer-spine,FORT_SMITH,4,0,,0,,Mid-South,9,9,6,1401,529,826,1711,1047,0.64,transfer-complexity-review
