GEOID,NAME,STATE,LAT,LON,NEAREST_MI,POPULATION,LAND_SQMI,GAP_CLASS,ARTIFACT_REASON
02016,Aleutians West Census Area,AK,51.9490,179.6212,2532.9,5219,4393,non_conus,outside_contiguous_us_threshold_model
02180,Nome Census Area,AK,64.7837,-164.1889,1931.3,10018,22970,non_conus,outside_contiguous_us_threshold_model
02188,Northwest Arctic Borough,AK,67.0051,-160.0211,1877.6,7682,35663,non_conus,outside_contiguous_us_threshold_model
02158,Kusilvak Census Area,AK,62.2836,-163.1902,1856.6,8372,17077,non_conus,outside_contiguous_us_threshold_model
02185,North Slope Borough,AK,69.4493,-153.4728,1825.4,10924,88824,non_conus,outside_contiguous_us_threshold_model
02013,Aleutians East Borough,AK,55.2450,-161.9975,1755.8,3407,6986,non_conus,outside_contiguous_us_threshold_model
02050,Bethel Census Area,AK,60.9291,-160.1526,1737.5,18538,40639,non_conus,outside_contiguous_us_threshold_model
02070,Dillingham Census Area,AK,59.5433,-158.2671,1652.1,4854,18334,non_conus,outside_contiguous_us_threshold_model
02290,Yukon-Koyukuk Census Area,AK,65.3757,-151.5779,1617.7,5355,145582,non_conus,outside_contiguous_us_threshold_model
02060,Bristol Bay Borough,AK,58.7417,-156.9668,1594.7,854,482,non_conus,outside_contiguous_us_threshold_model
02164,Lake and Peninsula Borough,AK,58.1085,-156.4134,1565.7,999,23832,non_conus,outside_contiguous_us_threshold_model
02068,Denali Borough,AK,63.6820,-150.0270,1514.4,2101,12641,non_conus,outside_contiguous_us_threshold_model
02122,Kenai Peninsula Borough,AK,60.3667,-152.3223,1473.5,59235,16018,non_conus,outside_contiguous_us_threshold_model
02090,Fairbanks North Star Borough,AK,64.6705,-146.4961,1470.3,96299,7335,non_conus,outside_contiguous_us_threshold_model
02150,Kodiak Island Borough,AK,57.7044,-153.9184,1470.2,13065,6689,non_conus,outside_contiguous_us_threshold_model
02170,Matanuska-Susitna Borough,AK,62.2656,-149.5040,1448.7,108661,24707,non_conus,outside_contiguous_us_threshold_model
02020,Anchorage Municipality,AK,61.1743,-149.2843,1405.0,290674,1707,non_conus,outside_contiguous_us_threshold_model
02240,Southeast Fairbanks Census Area,AK,63.8650,-143.2186,1360.3,6888,24832,non_conus,outside_contiguous_us_threshold_model
02066,Copper River Census Area,AK,62.0345,-143.9222,1292.1,2614,24692,non_conus,outside_contiguous_us_threshold_model
02063,Chugach Census Area,AK,60.4885,-146.2031,1291.5,7000,9530,non_conus,outside_contiguous_us_threshold_model
02282,Yakutat City and Borough,AK,60.0175,-140.4168,1112.5,564,7625,non_conus,outside_contiguous_us_threshold_model
02230,Skagway Municipality,AK,59.5604,-135.3383,967.2,1303,434,non_conus,outside_contiguous_us_threshold_model
02100,Haines Borough,AK,59.0984,-135.5758,948.0,2079,2344,non_conus,outside_contiguous_us_threshold_model
02105,Hoonah-Angoon Census Area,AK,58.4033,-135.8849,919.7,2329,6560,non_conus,outside_contiguous_us_threshold_model
02110,Juneau City and Borough,AK,58.3729,-134.1784,877.4,32108,2704,non_conus,outside_contiguous_us_threshold_model
02220,Sitka City and Borough,AK,57.1932,-135.3674,846.8,8462,2870,non_conus,outside_contiguous_us_threshold_model
02195,Petersburg Borough,AK,57.1125,-133.0086,782.7,3374,2901,non_conus,outside_contiguous_us_threshold_model
02198,Prince of Wales-Hyder Census Area,AK,55.6828,-133.1624,713.6,5799,5268,non_conus,outside_contiguous_us_threshold_model
02275,Wrangell City and Borough,AK,56.1808,-132.0268,709.3,2134,2556,non_conus,outside_contiguous_us_threshold_model
02130,Ketchikan Gateway Borough,AK,55.4499,-131.1067,647.6,13910,4857,non_conus,outside_contiguous_us_threshold_model
23003,Aroostook County,ME,46.7092,-68.6124,261.1,67237,6671,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
23029,Washington County,ME,44.9670,-67.6094,202.4,31096,2563,candidate_access_gap,county_centroid_beyond_threshold
23021,Piscataquis County,ME,45.9156,-69.1022,201.7,16936,3961,candidate_access_gap,county_centroid_beyond_threshold
04019,Pima County,AZ,32.1280,-111.7837,189.3,1042393,9189,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
38023,Divide County,ND,48.8148,-103.5093,186.3,2195,1261,candidate_access_gap,county_centroid_beyond_threshold
23019,Penobscot County,ME,45.4093,-68.6666,184.2,152640,3397,candidate_access_gap,county_centroid_beyond_threshold
30091,Sheridan County,MT,48.7056,-104.5339,183.2,3700,1677,candidate_access_gap,county_centroid_beyond_threshold
26083,Keweenaw County,MI,47.3673,-88.3513,181.6,2088,540,candidate_access_gap,county_centroid_beyond_threshold
30019,Daniels County,MT,48.7944,-105.5417,175.3,1535,1426,candidate_access_gap,county_centroid_beyond_threshold
32033,White Pine County,NV,39.4182,-114.9006,166.5,8997,8887,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
38105,Williams County,ND,48.3558,-103.5013,164.2,39076,2078,candidate_access_gap,county_centroid_beyond_threshold
32023,Nye County,NV,37.9659,-116.4590,163.9,51698,18182,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
31113,Logan County,NE,41.5422,-100.4437,163.7,839,571,candidate_access_gap,county_centroid_beyond_threshold
26095,Luce County,MI,46.5110,-85.5176,162.4,5442,899,candidate_access_gap,county_centroid_beyond_threshold
31041,Custer County,NE,41.3939,-99.7269,162.1,10566,2575,candidate_access_gap,county_centroid_beyond_threshold
31117,McPherson County,NE,41.6484,-101.1209,160.9,456,859,candidate_access_gap,county_centroid_beyond_threshold
23025,Somerset County,ME,45.5036,-69.9561,159.0,50656,3924,candidate_access_gap,county_centroid_beyond_threshold
30071,Phillips County,MT,48.2501,-107.9289,158.9,4233,5140,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
38013,Burke County,ND,48.7865,-102.5201,157.7,2184,1104,candidate_access_gap,county_centroid_beyond_threshold
26061,Houghton County,MI,46.9984,-88.6519,157.3,37414,1009,candidate_access_gap,county_centroid_beyond_threshold
23009,Hancock County,ME,44.5649,-68.3707,156.0,55851,1587,candidate_access_gap,county_centroid_beyond_threshold
31075,Grant County,NE,41.9140,-101.7560,154.9,649,777,candidate_access_gap,county_centroid_beyond_threshold
06027,Inyo County,CA,36.5622,-117.4042,151.3,18829,10197,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
04021,Pinal County,AZ,32.9185,-111.3663,150.9,433338,5367,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
32009,Esmeralda County,NV,37.7790,-117.6324,148.3,980,3582,candidate_access_gap,county_centroid_beyond_threshold
30085,Roosevelt County,MT,48.2827,-104.9952,148.0,10799,2355,candidate_access_gap,county_centroid_beyond_threshold
31005,Arthur County,NE,41.5719,-101.6959,146.0,485,715,candidate_access_gap,county_centroid_beyond_threshold
31115,Loup County,NE,41.9028,-99.5093,145.4,629,563,candidate_access_gap,county_centroid_beyond_threshold
04023,Santa Cruz County,AZ,31.5257,-110.8452,144.9,47838,1236,candidate_access_gap,county_centroid_beyond_threshold
30105,Valley County,MT,48.3499,-106.6704,144.3,7552,4926,candidate_access_gap,county_centroid_beyond_threshold
26003,Alger County,MI,46.5217,-86.6571,144.1,8866,915,candidate_access_gap,county_centroid_beyond_threshold
38079,Rolette County,ND,48.7683,-99.8405,143.0,12292,903,candidate_access_gap,county_centroid_beyond_threshold
31091,Hooker County,NE,41.9203,-101.1173,142.7,659,721,candidate_access_gap,county_centroid_beyond_threshold
31171,Thomas County,NE,41.8557,-100.5247,142.2,592,713,candidate_access_gap,county_centroid_beyond_threshold
08067,La Plata County,CO,37.2874,-107.8397,141.8,55983,1690,candidate_access_gap,county_centroid_beyond_threshold
26033,Chippewa County,MI,46.3218,-84.5206,139.7,36670,1559,candidate_access_gap,county_centroid_beyond_threshold
20189,Stevens County,KS,37.2017,-101.3173,139.1,5275,727,candidate_access_gap,county_centroid_beyond_threshold
26103,Marquette County,MI,46.6566,-87.5840,138.6,66376,1809,candidate_access_gap,county_centroid_beyond_threshold
31009,Blaine County,NE,41.9319,-99.9964,138.0,384,711,candidate_access_gap,county_centroid_beyond_threshold
31111,Lincoln County,NE,41.0503,-100.7445,137.4,34532,2564,candidate_access_gap,county_centroid_beyond_threshold
38009,Bottineau County,ND,48.7944,-100.8313,137.3,6411,1669,candidate_access_gap,county_centroid_beyond_threshold
38075,Renville County,ND,48.7128,-101.6582,137.2,2282,877,candidate_access_gap,county_centroid_beyond_threshold
38053,McKenzie County,ND,47.7425,-103.4032,136.9,14081,2760,candidate_access_gap,county_centroid_beyond_threshold
26097,Mackinac County,MI,46.1679,-85.3038,136.6,10843,1022,candidate_access_gap,county_centroid_beyond_threshold
26013,Baraga County,MI,46.6959,-88.3618,136.1,8245,898,candidate_access_gap,county_centroid_beyond_threshold
20129,Morton County,KS,37.1852,-101.8095,135.0,2688,730,candidate_access_gap,county_centroid_beyond_threshold
26131,Ontonagon County,MI,46.8353,-89.2769,133.7,5862,1311,candidate_access_gap,county_centroid_beyond_threshold
31071,Garfield County,NE,41.9069,-98.9513,133.0,1833,569,candidate_access_gap,county_centroid_beyond_threshold
20175,Seward County,KS,37.1810,-100.8553,133.0,21942,640,candidate_access_gap,county_centroid_beyond_threshold
35045,San Juan County,NM,36.5116,-108.3246,132.7,121798,5517,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
31101,Keith County,NE,41.1942,-101.6444,130.6,8303,1062,candidate_access_gap,county_centroid_beyond_threshold
08083,Montezuma County,CO,37.3380,-108.5958,130.5,26070,2029,candidate_access_gap,county_centroid_beyond_threshold
26153,Schoolcraft County,MI,46.0211,-86.1970,129.3,8062,1172,candidate_access_gap,county_centroid_beyond_threshold
31175,Valley County,NE,41.5641,-98.9835,129.0,4053,568,candidate_access_gap,county_centroid_beyond_threshold
