national_segment_id,segment_bundle_id,stitch_group_id,current_zone_id,current_tier,route_label,zone_id,route,state_scope,evidence_state_scope,geometry_state_scope,segment_aliases,bundle_aliases,board_layers,source_artifacts,stop_placement_status,bundle_role,member_segment_ids,registry_action,validation_status
US.HWYSEG.09AF27B5A419364E,US.HWYBUNDLE.09AF27B5A419364E,US.HWYSTITCH.09AF27B5A419364E,t3-mountain-west,T3,I25,t3-mountain-west,I25,CO;NM;WY,CO;NM;WY,,current-tier:T3;current-zone:t3-mountain-west;layer:selected-route;route-label:I25;route:I25;zone-route:t3-mountain-west:I25,current-tier:T3;current-zone:t3-mountain-west;layer:selected-route;route-label:I25;route:I25;zone-route:t3-mountain-west:I25,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,ready-for-stop-layout,single-segment,US.HWYSEG.09AF27B5A419364E,eligible-for-geometry-layout,pass
US.HWYSEG.154555A2CA030C0C,US.HWYBUNDLE.154555A2CA030C0C,US.HWYSTITCH.154555A2CA030C0C,t3-great-lakes,T3,US74,t3-great-lakes,US74,,,,current-tier:T3;current-zone:t3-great-lakes;layer:held-gap;layer:review-connector;route-label:US74;route:US74;zone-route:t3-great-lakes:US74,current-tier:T3;current-zone:t3-great-lakes;layer:held-gap;layer:review-connector;route-label:US74;route:US74;zone-route:t3-great-lakes:US74,held-gap;review-connector,data/t3-zone-route-columns.csv;t3-zone-route-columns;t4-terminal-access-columns,,single-segment,US.HWYSEG.154555A2CA030C0C,author-zone-bounded-stop-chain,review
US.HWYSEG.154556A2CA030DBF,US.HWYBUNDLE.154556A2CA030DBF,US.HWYSTITCH.154556A2CA030DBF,t3-great-lakes,T3,US75,t3-great-lakes,US75,,,,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:US75;route:US75;zone-route:t3-great-lakes:US75,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:US75;route:US75;zone-route:t3-great-lakes:US75,review-connector,data/t3-zone-route-columns.csv,,single-segment,US.HWYSEG.154556A2CA030DBF,author-zone-bounded-stop-chain,review
US.HWYSEG.154FE3A2CA0C51DB,US.HWYBUNDLE.154FE3A2CA0C51DB,US.HWYSTITCH.154FE3A2CA0C51DB,t3-great-lakes,T3,US40,t3-great-lakes,US40,,,,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:US40;route:US40;zone-route:t3-great-lakes:US40,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:US40;route:US40;zone-route:t3-great-lakes:US40,review-connector,data/t3-zone-route-columns.csv,,single-segment,US.HWYSEG.154FE3A2CA0C51DB,author-zone-bounded-stop-chain,review
US.HWYSEG.15566DA2CA11A807,US.HWYBUNDLE.15566DA2CA11A807,US.HWYSTITCH.15566DA2CA11A807,t3-great-lakes,T3,US22,t3-great-lakes,US22,,,,current-tier:T3;current-zone:t3-great-lakes;layer:held-gap;layer:review-connector;route-label:US22;route:US22;zone-route:t3-great-lakes:US22,current-tier:T3;current-zone:t3-great-lakes;layer:held-gap;layer:review-connector;route-label:US22;route:US22;zone-route:t3-great-lakes:US22,held-gap;review-connector,data/t3-zone-route-columns.csv;t3-zone-route-columns;t4-terminal-access-columns,,single-segment,US.HWYSEG.15566DA2CA11A807,author-zone-bounded-stop-chain,review
US.HWYSEG.172214B51AB61796,US.HWYBUNDLE.172214B51AB61796,US.HWYSTITCH.172214B51AB61796,t3-mountain-west,T3,US2,t3-mountain-west,US2,,,,current-tier:T3;current-zone:t3-mountain-west;layer:selected-route;route-label:US2;route:US2;zone-route:t3-mountain-west:US2,current-tier:T3;current-zone:t3-mountain-west;layer:selected-route;route-label:US2;route:US2;zone-route:t3-mountain-west:US2,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-stop-chain,single-segment,US.HWYSEG.172214B51AB61796,author-zone-bounded-stop-chain,review
US.HWYSEG.174D6618A9C2A199,US.HWYBUNDLE.174D6618A9C2A199,US.HWYSTITCH.174D6618A9C2A199,t3-mid-south,T3,I630,t3-mid-south,I-630,,,,current-tier:T3;current-zone:t3-mid-south;layer:review-connector;route-label:I630;route:I630;zone-route:t3-mid-south:I630,current-tier:T3;current-zone:t3-mid-south;layer:review-connector;route-label:I630;route:I630;zone-route:t3-mid-south:I630,review-connector,data/t3-zone-route-columns.csv,,single-segment,US.HWYSEG.174D6618A9C2A199,author-zone-bounded-stop-chain,review
US.HWYSEG.174D6918A9C2A6B2,US.HWYBUNDLE.174D6918A9C2A6B2,US.HWYSTITCH.174D6918A9C2A6B2,t3-mid-south,T3,I635,t3-mid-south,I635,,,,current-tier:T3;current-zone:t3-mid-south;layer:selected-route;route-label:I635;route:I635;zone-route:t3-mid-south:I635,current-tier:T3;current-zone:t3-mid-south;layer:selected-route;route-label:I635;route:I635;zone-route:t3-mid-south:I635,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-stop-chain,single-segment,US.HWYSEG.174D6918A9C2A6B2,author-zone-bounded-stop-chain,review
US.HWYSEG.1757F418A9CBE768,US.HWYBUNDLE.1757F418A9CBE768,US.HWYSTITCH.1757F418A9CBE768,t3-mid-south,T3,I664,t3-mid-south,I664,VA,VA,,current-tier:T3;current-zone:t3-mid-south;layer:selected-route;route-label:I664;route:I664;zone-route:t3-mid-south:I664,current-tier:T3;current-zone:t3-mid-south;layer:selected-route;route-label:I664;route:I664;zone-route:t3-mid-south:I664,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-terminal-stop,single-segment,US.HWYSEG.1757F418A9CBE768,complete-terminal-stop-chain,review
US.HWYSEG.1F08E9E197CD527B,US.HWYBUNDLE.1F08E9E197CD527B,US.HWYSTITCH.1F08E9E197CD527B,t3-southeast,T3,,t3-southeast,,,,,current-tier:T3;current-zone:t3-southeast;layer:zone-summary,current-tier:T3;current-zone:t3-southeast;layer:zone-summary,zone-summary,data/t3-zone-map-diagnostics.csv,,single-segment,US.HWYSEG.1F08E9E197CD527B,track-zone-or-backlog-identity,review
US.HWYSEG.283B97A405AC8E4D,US.HWYBUNDLE.283B97A405AC8E4D,US.HWYSTITCH.283B97A405AC8E4D,t3-mountain-west,T3,I8,t3-mountain-west,I-8,,,,current-tier:T3;current-zone:t3-mountain-west;layer:review-connector;route-label:I8;route:I8;zone-route:t3-mountain-west:I8,current-tier:T3;current-zone:t3-mountain-west;layer:review-connector;route-label:I8;route:I8;zone-route:t3-mountain-west:I8,review-connector,data/t3-zone-route-columns.csv,,single-segment,US.HWYSEG.283B97A405AC8E4D,author-zone-bounded-stop-chain,review
US.HWYSEG.3225833A5A66B8FD,US.HWYBUNDLE.3225833A5A66B8FD,US.HWYSTITCH.3225833A5A66B8FD,zone-assignment-needed,T3,,zone-assignment-needed,,,,,current-tier:T3;current-zone:zone-assignment-needed;layer:unassigned-gap-backlog,current-tier:T3;current-zone:zone-assignment-needed;layer:unassigned-gap-backlog,unassigned-gap-backlog,data/t3-t4-access-gaps.csv,,single-segment,US.HWYSEG.3225833A5A66B8FD,track-zone-or-backlog-identity,review
