route,score,tier,rubric_version,estimated,A1,A2,A3,A4,A5,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3
I-1,10.3,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
I-10,95.1,T1,v1.4,true,3.2,5.5,0.0,9.0,3.5,7.9,10.0,10.0,8.0,7.8,4.3,3.9,7.0,6.1,4.6,4.2
I-105,45.2,T3,v1.4,true,5.5,0.0,5.6,0.0,0.0,6.8,1.8,10.0,5.0,0.3,0.0,4.4,0.0,0.0,5.0,0.9
I-11,14.9,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.5,1.8,1.5,5.0,2.1,0.0,4.0,0.0,0.0,0.0,0.0
I-110,65.3,T2,v1.4,true,4.6,0.0,1.8,0.0,0.0,10.0,4.5,10.0,5.0,7.5,4.0,1.6,0.0,10.0,4.8,1.4
I-115,26.8,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,7.4,0.2,0.0,5.0,0.0,6.0,6.0,0.0,0.0,0.0,2.1
I-12,32.1,T3,v1.4,true,0.0,0.0,0.0,0.0,1.0,1.8,3.6,10.0,5.0,2.1,0.6,5.1,0.0,0.0,1.0,1.8
I-126,18.9,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.1,5.0,1.0,0.5,5.6,0.0,0.0,0.0,1.8
I-129,27.0,T4,v1.4,true,1.1,0.0,0.0,0.0,0.0,5.3,5.6,0.0,5.0,0.0,4.4,4.0,0.0,0.0,0.0,1.5
I-135,27.7,T4,v1.4,true,1.3,0.0,0.0,0.0,6.0,1.9,5.6,0.0,5.0,0.6,0.9,4.7,0.0,0.0,0.0,1.8
I-14,31.4,T3,v1.4,true,5.5,0.0,5.5,0.0,0.0,5.4,1.8,3.5,5.0,1.2,1.0,2.6,0.0,0.0,0.0,0.0
I-140,28.2,T4,v1.4,true,4.8,0.0,2.2,0.0,0.0,0.7,5.9,2.5,5.0,1.1,1.0,5.1,0.0,0.0,0.0,0.0
I-15,64.5,T2,v1.4,true,1.6,1.3,0.0,5.0,9.2,6.7,5.9,8.0,6.0,5.1,4.0,0.6,5.0,2.0,1.0,3.0
I-155,32.3,T3,v1.4,true,0.7,0.0,0.0,0.0,0.0,4.0,2.7,6.4,5.0,0.2,4.3,7.0,0.0,0.0,0.0,1.9
I-16,46.0,T3,v1.4,true,2.0,0.0,0.0,0.0,0.0,5.7,10.0,10.0,5.0,1.6,3.5,5.4,0.0,0.0,1.0,1.8
I-165,37.7,T3,v1.4,true,2.4,0.0,0.0,0.0,0.0,7.6,0.8,10.0,5.0,0.9,0.0,5.5,0.0,0.0,4.0,1.4
I-169,25.2,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,0.8,7.9,5.0,1.1,0.0,7.8,0.0,0.0,0.0,2.5
I-17,36.7,T3,v1.4,true,3.0,0.0,0.0,0.0,0.0,10.0,5.1,0.1,5.0,4.8,0.0,2.6,0.0,0.0,5.0,1.0
I-170,16.1,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.9,0.8,1.5,5.0,2.7,0.2,3.0,0.0,0.0,1.0,1.0
I-172,20.1,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,5.0,0.0,4.9,5.8,0.0,0.0,0.0,2.7
I-175,28.5,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,6.5,0.8,2.8,5.0,3.8,0.0,4.1,0.0,0.0,4.0,1.4
I-176,27.9,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,2.7,2.7,7.9,5.0,5.8,0.0,1.9,0.0,0.0,0.0,1.9
I-180,29.6,T4,v1.4,true,3.0,0.0,0.0,0.0,0.0,1.7,1.8,4.6,5.0,2.9,4.7,4.0,0.0,0.0,0.0,2.0
I-181,25.0,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,1.5,6.6,2.4,5.0,1.3,1.4,6.8,0.0,0.0,0.0,0.0
