route,score,tier
I-80,38.7,T1
I-10,37.9,T1
I-5,36,T1
I-35,33.8,T1
I-90,32.8,T1
I-94,29.3,T1
I-25,28,T1
I-70,27.3,T1
I-19,27.3,T1
I-40,26.7,T1
I-29,26.7,T1
I-15,26.7,T1
I-75,23.7,T2
I-95,21.2,T2
I-110,19,T2
I-84,18,T3
I-30,16.5,T3
I-2,16.4,T3
I-64,15.3,T3
I-880,15,T3
I-680,15,T3
I-44,15,T3
I-27,15,T3
I-184,15,T3
I-17,15,T3
I-69,14.9,T3
I-225,14.6,T3
I-194,14.6,T3
I-20,14.5,T3
I-24,14.4,T3
I-86,13.4,T3
I-480,13.4,T3
I-290,13.4,T3
I-22,13.4,T3
I-49,13.3,T3
I-295,13.2,T3
I-45,12.9,T3
I-4,12.9,T3
I-285,12.8,T3
I-88,12.7,T3
I-535,12.7,T3
I-405,12.7,T3
I-240,12.6,T3
I-210,12.6,T3
I-165,12.6,T3
I-76,12.4,T3
I-315,12.4,T3
I-115,12.4,T3
I-220,12.3,T3
I-8,12.2,T3
I-705,12,T3
I-68,11.9,T3
I-16,11.9,T3
I-195,11.8,T3
I-105,11.8,T3
I-37,11.7,T3
I-270,11.7,T3
I-244,11.7,T3
I-99,11.6,T3
I-175,11.5,T3
I-610,11.4,T3
I-77,11.3,T3
I-72,11.3,T3
I-640,11.2,T3
I-635,11.2,T3
I-14,11.2,T3
I-540,11.1,T3
I-280,11.1,T3
I-840,11,T3
I-526,11,T3
I-335,11,T3
I-39,10.9,T4
I-380,10.8,T4
I-180,10.7,T4
I-595,10.6,T4
I-469,10.6,T4
I-990,10.5,T4
I-182,10.4,T4
I-85,10.3,T4
I-74,10.3,T4
I-129,10.3,T4
I-196,10.2,T4
I-805,10.1,T4
I-781,10.1,T4
I-59,10.1,T4
I-581,10.1,T4
I-520,10.1,T4
I-580,10,T4
I-565,9.8,T4
I-395,9.8,T4
I-375,9.8,T4
I-82,9.6,T4
I-795,9.6,T4
I-91,9.5,T4
I-759,9.4,T4
I-57,9.3,T4
I-155,9.3,T4
I-555,9.2,T4
I-410,9.2,T4
I-885,9,T4
I-495,9,T4
I-790,8.9,T4
I-459,8.9,T4
I-440,8.9,T4
I-78,8.8,T4
I-471,8.8,T4
I-185,8.8,T4
I-275,8.6,T4
I-79,8.4,T4
I-587,8.4,T4
I-96,8.3,T4
I-89,8.2,T4
I-55,8.2,T4
I-470,8.2,T4
I-205,8.2,T4
I-985,8.1,T4
I-81,8,T4
I-474,8,T4
I-575,7.8,T4
I-26,7.8,T4
I-176,7.7,T4
I-264,7.6,T4
I-505,7.5,T4
I-820,7.3,T4
I-41,7.2,T4
I-475,7.1,T4
I-71,7,T4
I-684,7,T4
I-476,7,T4
I-229,6.9,T4
I-135,6.9,T4
I-12,6.8,T4
I-670,6.7,T4
I-66,6.7,T4
I-490,6.7,T4
I-385,6.7,T4
I-83,6.6,T4
I-510,6.6,T4
I-496,6.6,T4
I-359,6.6,T4
I-310,6.6,T4
I-65,6.5,T4
I-585,6.5,T4
I-269,6.5,T4
I-181,6.5,T4
I-675,6.4,T4
I-381,6.4,T4
I-73,6.3,T4
I-69C,6.3,T4
I-390,6.3,T4
I-215,6.2,T4
I-189,6.2,T4
I-43,6.1,T4
I-235,6.1,T4
I-530,5.9,T4
I-170,5.9,T4
I-69E,5.8,T4
I-691,5.8,T4
I-172,5.8,T4
I-780,5.7,T4
I-376,5.7,T4
I-283,5.7,T4
I-140,5.7,T4
I-895,5.5,T4
I-515,5.5,T4
I-293,5.5,T4
I-287,5.5,T4
I-11,5.5,T4
I-890,5.4,T4
I-255,5.4,T4
I-787,5.3,T4
I-696,5.3,T4
I-980,5.2,T4
I-865,5.2,T4
I-785,5.2,T4
I-435,5.2,T4
I-238,5.2,T4
I-190,5.2,T4
I-393,5.1,T4
I-97,5,T4
I-93,5,T4
I-895B,5,T4
I-895A,5,T4
I-894,5,T4
I-87,5,T4
I-794,5,T4
I-710,5,T4
I-695,5,T4
I-694,5,T4
I-690,5,T4
I-678,5,T4
I-676,5,T4
I-664,5,T4
I-630,5,T4
I-605,5,T4
I-590,5,T4
I-579,5,T4
I-564,5,T4
I-516,5,T4
I-494,5,T4
I-485,5,T4
I-481,5,T4
I-480N,5,T4
I-478,5,T4
I-465,5,T4
I-464,5,T4
I-430,5,T4
I-394,5,T4
I-391,5,T4
I-384,5,T4
I-370,5,T4
I-35W,5,T4
I-35E,5,T4
I-355,5,T4
I-3,5,T4
I-294,5,T4
I-291,5,T4
I-279,5,T4
I-278,5,T4
I-277,5,T4
I-276,5,T4
I-271,5,T4
I-265,5,T4
I-201,5,T4
I-169,5,T4
I-126,5,T4
I-1,5,T4
