route,score,tier
I-1,5.0,T4
I-10,41.1,T1
I-105,22.9,T2
I-11,5.5,T4
I-110,25.4,T2
I-115,12.4,T3
I-12,6.8,T4
I-126,5.0,T4
I-129,11.4,T3
I-135,8.2,T4
I-14,22.1,T2
I-140,12.7,T3
I-15,28.2,T1
I-155,10.0,T4
I-16,13.9,T3
I-165,14.9,T3
I-169,5.0,T4
I-17,18.0,T3
I-170,5.9,T4
I-172,5.8,T4
I-175,11.5,T3
I-176,7.7,T4
I-180,13.7,T3
I-181,6.5,T4
I-182,10.4,T4
I-184,15.0,T3
I-185,11.3,T3
I-189,6.2,T4
I-19,29.8,T1
I-190,5.2,T4
I-194,14.6,T3
I-195,21.7,T2
I-196,10.2,T4
I-2,23.1,T2
I-20,24.5,T2
I-201,5.0,T4
I-205,27.6,T1
I-210,12.6,T3
I-215,22.8,T2
I-22,15.1,T3
I-220,20.6,T2
I-225,34.6,T1
I-229,6.9,T4
I-235,11.6,T3
I-238,5.2,T4
I-24,29.3,T1
I-240,29.9,T1
I-244,19.2,T2
I-25,28.3,T1
I-255,5.4,T4
I-26,9.8,T4
I-264,16.8,T3
I-265,5.0,T4
I-269,7.2,T4
I-27,16.0,T3
I-270,29.1,T1
I-271,5.0,T4
I-275,17.5,T3
I-276,5.0,T4
I-277,5.0,T4
I-278,5.0,T4
I-279,5.0,T4
I-280,11.1,T3
I-283,5.7,T4
I-285,32.8,T1
I-287,5.5,T4
I-29,26.7,T1
I-290,13.4,T3
I-291,5.0,T4
I-293,5.5,T4
I-294,5.0,T4
I-295,17.0,T3
I-3,5.0,T4
I-30,26.3,T1
I-310,6.6,T4
I-315,14.8,T3
I-335,11.5,T3
I-35,38.6,T1
I-355,5.0,T4
I-359,12.4,T3
I-35E,5.0,T4
I-35W,5.0,T4
I-37,14.3,T3
I-370,5.0,T4
I-375,9.8,T4
I-376,5.7,T4
I-380,10.8,T4
I-381,7.4,T4
I-384,5.0,T4
I-385,6.7,T4
I-39,10.9,T4
I-390,6.3,T4
I-391,5.0,T4
I-393,5.1,T4
I-394,5.0,T4
I-395,29.8,T1
I-4,12.9,T3
I-40,29.1,T1
I-405,31.0,T1
I-41,7.2,T4
I-410,23.6,T2
I-43,6.1,T4
I-430,16.1,T3
I-435,13.2,T3
I-44,24.0,T2
I-440,14.3,T3
I-45,20.8,T2
I-459,19.1,T2
I-464,10.3,T4
I-465,5.0,T4
I-469,10.6,T4
I-470,9.4,T4
I-471,8.8,T4
I-474,8.0,T4
I-475,12.8,T3
I-476,7.0,T4
I-478,5.0,T4
I-480,23.5,T2
I-480N,5.0,T4
I-481,5.0,T4
I-485,5.0,T4
I-49,24.1,T2
I-490,6.7,T4
I-494,5.0,T4
I-495,24.4,T2
I-496,6.6,T4
I-5,40.8,T1
I-505,7.5,T4
I-510,6.6,T4
I-515,24.9,T2
I-516,10.9,T4
I-520,15.4,T3
I-526,11.0,T3
I-530,7.9,T4
I-535,12.7,T3
I-540,18.4,T3
I-55,10.0,T4
I-555,10.2,T4
I-564,8.2,T4
I-565,21.4,T2
I-57,9.3,T4
I-575,22.5,T2
I-579,5.0,T4
I-580,13.9,T3
I-581,17.1,T3
I-585,6.5,T4
I-587,8.4,T4
I-59,12.4,T3
I-590,5.0,T4
I-595,10.6,T4
I-605,5.0,T4
I-610,31.4,T1
I-630,19.9,T2
I-635,31.2,T1
I-64,29.0,T1
I-640,18.0,T3
I-65,21.4,T2
I-66,14.8,T3
I-664,20.6,T2
I-670,14.0,T3
I-675,22.7,T2
I-676,5.0,T4
I-678,5.0,T4
I-68,11.9,T3
I-680,29.4,T1
I-684,7.0,T4
I-69,36.0,T1
I-690,5.0,T4
I-691,5.8,T4
I-694,5.0,T4
I-695,5.0,T4
I-696,5.3,T4
I-69C,6.3,T4
I-69E,5.8,T4
I-70,28.3,T1
I-705,12.0,T3
I-71,7.0,T4
I-710,5.0,T4
I-72,11.3,T3
I-73,6.3,T4
I-74,10.3,T4
I-75,29.5,T1
I-759,11.1,T3
I-76,13.4,T3
I-77,20.5,T2
I-78,8.8,T4
I-780,5.7,T4
I-781,10.1,T4
I-785,5.2,T4
I-787,5.3,T4
I-79,8.4,T4
I-790,8.9,T4
I-794,5.0,T4
I-795,9.6,T4
I-8,12.6,T3
I-80,39.4,T1
I-805,10.1,T4
I-81,21.7,T2
I-82,10.8,T4
I-820,25.2,T2
I-83,6.6,T4
I-84,27.9,T1
I-840,14.1,T3
I-85,26.1,T1
I-86,13.4,T3
I-865,5.2,T4
I-87,5.0,T4
I-88,12.7,T3
I-880,15.0,T3
I-885,9.0,T4
I-89,8.2,T4
I-890,5.4,T4
I-894,5.0,T4
I-895,5.5,T4
I-895A,5.0,T4
I-895B,5.0,T4
I-90,33.1,T1
I-91,9.5,T4
I-93,5.0,T4
I-94,29.3,T1
I-95,37.4,T1
I-96,8.3,T4
I-97,5.0,T4
I-980,5.2,T4
I-985,19.6,T2
I-99,11.6,T3
I-990,10.5,T4
