site_id,event_id,source,source_event_id,observation_year,start_time,end_time,duration_hours,event_type,full_closure,lanes_closed,freight_relevant,confidence,notes
T1X-I35-I80,IOWA511-IADOT-10092520214BOTH,Iowa DOT 511 ArcGIS,IADOT-10092520214BOTH,2026,2026-04-15 09:00 AM,2026-04-15 05:00 PM,8.0,work_zone,false,,true,medium,I-80 I-80: Starts Tuesday May 09. I-80: Shoulders Closed due to road construction. Web Text: Creston RCE (877-226-8109) - Dallas County Creston RCE (877-226-8109) - Dallas County
T1X-I35-I80,IOWA511-IADOT-10373302655BOTH,Iowa DOT 511 ArcGIS,IADOT-10373302655BOTH,2026,2026-05-04 12:00 PM,2026-05-04 05:00 PM,5.0,work_zone,false,,true,medium,I-35 I-35: Starts Monday June 05. I-35: Both Shoulders Closed due to road construction. Web Text: Marshalltown RCE (800-251-2706) - Polk County **Intermittent Shoulder Closure** Marshalltown RCE (800-251-2706) - Polk County **Intermittent Shoulder Closure**
T1X-I35-I80,IOWA511-IADOT-15506662985BOTH,Iowa DOT 511 ArcGIS,IADOT-15506662985BOTH,2026,2026-04-30 06:00 AM,2026-04-30 05:00 PM,11.0,work_zone,false,,true,medium,I-80 I-80: Starts Monday August 26. I-80: Road Construction Web Text: Grimes RCE (800-251-2707) - Polk County Grimes RCE (800-251-2707) - Polk County
T1X-I35-I80,IOWA511-IADOT-16677332336BOTH,Iowa DOT 511 ArcGIS,IADOT-16677332336BOTH,2026,2026-04-29 09:00 PM,2026-04-29 05:00 AM,,work_zone,false,,true,low,I-80 I-80: Starts Sunday March 22. I-80: Night Time Construction Work Web Text: Grimes RCE (800-251-2707) - Polk County Grimes RCE (800-251-2707) - Polk County
T1X-I35-I80,IOWA511-IADOT-17964336880BOTH,Iowa DOT 511 ArcGIS,IADOT-17964336880BOTH,2026,2026-03-25 07:00 PM,2026-03-25 06:00 AM,,work_zone,false,,true,low,I-35 I-35: Starts Wednesday March 25. I-35: Night Time Construction Work Web Text: Marshalltown RCE (800-251-2706) - Polk & Story Counties Marshalltown RCE (800-251-2706) - Polk & Story Counties
T1X-I35-I80,IOWA511-IADOT-19668006352EB,Iowa DOT 511 ArcGIS,IADOT-19668006352EB,2026,2026-04-09 08:00 AM,2026-04-09 05:00 PM,9.0,work_zone,false,,true,medium,I-80 EB I-80 EB: Starts Monday August 18. I-80 EB: Both Shoulders Closed due to road construction. Web Text: Creston RCE (877-226-8109) - Dallas County Creston RCE (877-226-8109) - Dallas County
T1X-I35-I80,IOWA511-IADOT-19668046773WB,Iowa DOT 511 ArcGIS,IADOT-19668046773WB,2026,2026-01-15 08:00 AM,2026-01-15 05:00 PM,9.0,work_zone,false,,true,medium,I-80 WB I-80 WB: Starts Monday August 18. I-80 WB: Both Shoulders Closed due to road construction. Web Text: Creston RCE (877-226-8109) - Dallas County Creston RCE (877-226-8109) - Dallas County
T1X-I35-I80,IOWA511-IADOT-22383438728BOTH,Iowa DOT 511 ArcGIS,IADOT-22383438728BOTH,2026,2026-04-08 07:00 PM,2026-04-08 06:00 AM,,work_zone,false,,true,low,I-35 I-35: Starts Sunday April 26. I-35: Night Time Construction Work Web Text: Jefferson RCE (800-251-2705) - Story County Jefferson RCE (800-251-2705) - Story County
T1X-I35-I80,IOWA511-IADOT-22383586700BOTH,Iowa DOT 511 ArcGIS,IADOT-22383586700BOTH,2026,2026-04-08 05:00 PM,2026-04-08 10:00 AM,,work_zone,false,,true,low,I-35 I-35: Starts Sunday April 26. I-35: Road Construction Web Text: Jefferson RCE (800-251-2705) - Story and Hamilton Counties Jefferson RCE (800-251-2705) - Story and Hamilton Counties
T1X-I35-I80,IOWA511-IADOT-22385705921NB,Iowa DOT 511 ArcGIS,IADOT-22385705921NB,2026,2026-04-15 08:00 PM,2026-04-15 06:00 AM,,work_zone,true,,true,low,I-35 NB I-35 NB: Starts Wednesday April 15. I-35 NB: Entrance Ramp Closed due to road construction. Web Text: Marshalltown RCE (800-251-2706) - Polk County Marshalltown RCE (800-251-2706) - Polk County
T1X-I35-I80,IOWA511-IADOT-22386044943BOTH,Iowa DOT 511 ArcGIS,IADOT-22386044943BOTH,2026,2026-04-08 07:00 PM,2026-04-08 06:00 AM,,work_zone,false,,true,low,I-80 I-80: Starts Wednesday April 08. I-80: Night Time Construction Work Web Text: Grimes RCE (800-251-2707) - Polk County Grimes RCE (800-251-2707) - Polk County
T1X-I35-I80,IOWA511-IADOT-22395797229EB,Iowa DOT 511 ArcGIS,IADOT-22395797229EB,2026,2026-04-09 06:00 AM,2026-04-09 05:00 PM,11.0,work_zone,true,,true,medium,I-80 EB I-80 EB: Starts Thursday April 09. I-80 EB: Exit Ramp Closed due to road construction. Web Text: Creston RCE (877-226-8109) - Dallas County Creston RCE (877-226-8109) - Dallas County
T1X-I35-I80,IOWA511-IADOT-22409722034WB,Iowa DOT 511 ArcGIS,IADOT-22409722034WB,2026,2026-05-04 05:00 AM,2026-05-04 05:00 AM,0.0,work_zone,true,,true,medium,I-80 WB I-80 WB: Starts Tuesday April 14. I-80 WB: Entrance Ramp Closed due to road construction. Web Text: Creston RCE (877-226-8109) - Dallas County Creston RCE (877-226-8109) - Dallas County
T1X-I35-I80,IOWA511-IADOT-22470041168EB,Iowa DOT 511 ArcGIS,IADOT-22470041168EB,2026,2026-05-08 08:30 PM,2026-05-08 05:00 AM,,work_zone,true,,true,low,I-80 EB I-80 EB: Starts Sunday May 10. I-80 EB: Closed due to night time construction work. Web Text: Creston RCE (877-226-8109) - Dallas County Creston RCE (877-226-8109) - Dallas County
T1X-I35-I80,IOWA511-IADOT-22479843883BOTH,Iowa DOT 511 ArcGIS,IADOT-22479843883BOTH,2026,2026-04-30 04:00 AM,2026-04-30 06:00 AM,2.0,work_zone,false,,true,medium,I-80 I-80: Starts Friday April 17. I-80: Shoulders Closed due to road construction. Web Text: Grimes RCE (800-251-2707) - Polk County Grimes RCE (800-251-2707) - Polk County
T1X-I35-I80,IOWA511-IADOT-22542308526WB,Iowa DOT 511 ArcGIS,IADOT-22542308526WB,2026,2026-04-21 03:00 PM,2026-04-21 05:00 AM,,work_zone,false,,true,low,I-80 WB I-80 WB: Starts Tuesday April 21. I-80 WB: Exit Ramp Partially Closed due to road construction. Web Text: Creston RCE (877-226-8109) - Dallas County Creston RCE (877-226-8109) - Dallas County
T1X-I35-I80,IOWA511-IADOT-22697266613SB,Iowa DOT 511 ArcGIS,IADOT-22697266613SB,2026,2026-05-04 06:00 PM,2026-05-04 03:00 PM,,work_zone,false,,true,low,I-35 SB I-35 SB: Starts Monday May 11. I-35 SB: Road Construction Web Text: Chariton RCE (800-881-5778) - Warren and Clarke Counties Chariton RCE (800-881-5778) - Warren and Clarke Counties
T1X-I35-I80,IOWA511-IADOT-22711972350WB,Iowa DOT 511 ArcGIS,IADOT-22711972350WB,2026,2026-05-06 09:00 PM,2026-05-06 05:00 AM,,work_zone,true,,true,low,I-80 WB I-80 WB: Starts Tuesday May 19. I-80 WB: Closed due to night time construction work. Web Text: Creston RCE (877-226-8109) - Dallas and Polk Counties Creston RCE (877-226-8109) - Dallas and Polk Counties
T1X-I35-I80,IOWA511-IADOT-22723199065WB,Iowa DOT 511 ArcGIS,IADOT-22723199065WB,2026,2026-05-06 08:30 PM,2026-05-06 05:00 AM,,work_zone,true,,true,low,I-80 WB I-80 WB: Starts Sunday May 10. I-80 WB: Entrance Ramp Closed due to night time construction work. Web Text: Creston RCE (877-226-8109) - Dallas County Creston RCE (877-226-8109) - Dallas County
T1X-I35-I80,IOWA511-IADOT-22723399659WB,Iowa DOT 511 ArcGIS,IADOT-22723399659WB,2026,2026-05-06 08:30 PM,2026-05-06 05:00 AM,,work_zone,false,,true,low,I-80 WB I-80 WB: Starts Sunday May 10. I-80 WB: Right Lane Closed due to night time construction work. Web Text: Creston RCE (877-226-8109) - Dallas County Creston RCE (877-226-8109) - Dallas County
T1X-I35-I80,IOWA511-IADOT-22724384286EB,Iowa DOT 511 ArcGIS,IADOT-22724384286EB,2026,2026-05-06 08:30 PM,2026-05-06 05:00 AM,,work_zone,true,,true,low,I-80 EB I-80 EB: Starts Sunday May 17. I-80 EB: Closed due to night time construction work. Web Text: Creston RCE (877-226-8109) - Dallas County Creston RCE (877-226-8109) - Dallas County
T1X-I35-I80,IOWA511-IADOT-22735489722EB,Iowa DOT 511 ArcGIS,IADOT-22735489722EB,2026,2026-05-07 10:00 PM,2026-05-07 04:00 AM,,work_zone,true,,true,low,I-80 EB I-80 EB: Starts Tuesday May 26. I-80 EB: Closed due to night time construction work. Web Text: Grimes RCE (800-251-2707) - Polk County Grimes RCE (800-251-2707) - Polk County
T1X-I35-I80,IOWA511-IADOT-22736565868NB,Iowa DOT 511 ArcGIS,IADOT-22736565868NB,2026,2026-05-07 09:00 PM,2026-05-07 05:00 AM,,work_zone,true,,true,low,I-35 NB I-35 NB: Starts Sunday May 10. I-35 NB: Closed due to night time construction work. Web Text: Marshalltown RCE (800-251-2706) - Polk and Story Counties Marshalltown RCE (800-251-2706) - Polk and Story Counties
T1X-I35-I80,IOWA511-IADOT-22762455894EB,Iowa DOT 511 ArcGIS,IADOT-22762455894EB,2026,2026-05-09 08:00 PM,2026-05-09 05:00 AM,,work_zone,true,,true,low,I-80 EB I-80 EB: Starts Sunday May 10. I-80 EB: Entrance Ramp Closed due to night time construction work. Web Text: Grimes RCE (800-251-2707) - Polk County Grimes RCE (800-251-2707) - Polk County
T1X-I35-I80,IOWA511-IADOT-22762673865WB,Iowa DOT 511 ArcGIS,IADOT-22762673865WB,2026,2026-05-09 08:00 PM,2026-05-09 05:00 AM,,work_zone,true,,true,low,I-80 WB I-80 WB: Starts Sunday May 10. I-80 WB: Entrance Ramp Closed due to night time construction work. Web Text: Grimes RCE (800-251-2707) - Polk County Grimes RCE (800-251-2707) - Polk County
