tier,region_id,route,parent_trunks,column_decision,treatment_status,beck_corridor,beck_service_class,beck_color_mode,beck_start_trunk,beck_end_trunk,duplicate_service_count,duplicate_service_corridors,close_parallel_count,close_parallel_corridors,unstopped_t1_contact_count,unstopped_t1_contacts,beck_service_action,qualification_basis,selection_action,selection_basis,validation_status
T2,component-0,I110,I10,review,review-treatment,,,,,,0,,0,,0,,,,source-needed,missing-beck-t2-diagnostic,review
T2,component-0,I15,I70;I84;I90,selected,selected-treatment,I-15,connector,split-parent,I-5,I-70,0,,0,,0,,keep,distinct-parent-service,keep-service-column,diagnostic-backed-distinct-service,pass
T2,component-0,I195,I64;I95,selected,selected-treatment,,,,,,0,,0,,0,,,,source-needed,missing-beck-t2-diagnostic,review
T2,component-0,I205,I5,review,review-treatment,,,,,,0,,0,,0,,,,source-needed,missing-beck-t2-diagnostic,review
T2,component-0,I220,I20;I55,selected,selected-treatment,,,,,,0,,0,,0,,,,source-needed,missing-beck-t2-diagnostic,review
T2,component-0,I225,I70,review,review-treatment,,,,,,0,,0,,0,,,,source-needed,missing-beck-t2-diagnostic,review
T2,component-0,I24,I40;I69;I75,selected,selected-treatment,I-24,connector,split-parent,I-40,I-75,0,,0,,0,,keep,distinct-parent-service,keep-service-column,diagnostic-backed-distinct-service,pass
T2,component-0,I240,I40,review,review-treatment,,,,,,0,,0,,0,,,,source-needed,missing-beck-t2-diagnostic,review
T2,component-0,I25,I10;I70;I90,selected,selected-treatment,I-25,transfer-spine,split-parent,I-90,I-40,0,,0,,0,,keep,distinct-parent-service,keep-service-column,diagnostic-backed-distinct-service,pass
T2,component-0,I264,I64,review,review-treatment,,,,,,0,,0,,0,,,,source-needed,missing-beck-t2-diagnostic,review
T2,component-0,I270,I55;I70,selected,selected-treatment,,,,,,0,,0,,0,,,,source-needed,missing-beck-t2-diagnostic,review
T2,component-0,I275,I40;I75,selected,selected-treatment,,,,,,0,,0,,0,,,,source-needed,missing-beck-t2-diagnostic,review
T2,component-0,I29,I35;I70,selected,selected-treatment,I-29,connector,split-parent,I-80,I-35,0,,0,,0,,keep,distinct-parent-service,keep-service-column,diagnostic-backed-distinct-service,pass
T2,component-0,I295,I64;I95,selected,selected-treatment,,,,,,0,,0,,0,,,,source-needed,missing-beck-t2-diagnostic,review
T2,component-0,I30,I20;I40;I45,selected,selected-treatment,I-30,connector,split-parent,I-35,I-40,0,,0,,0,,keep,distinct-parent-service,keep-service-column,diagnostic-backed-distinct-service,pass
T2,component-0,I37,I35,review,review-treatment,I-37,compact-service,single-parent,I-10,I-10,0,,0,,0,,keep,distinct-parent-service,parent-region-review,regionalizer-review-treatment,review
T2,component-0,I405,I5;I90,selected,selected-treatment,I-405,transfer-spine,split-parent,I-5,I-10,0,,0,,0,,keep,distinct-parent-service,keep-service-column,diagnostic-backed-distinct-service,pass
T2,component-0,I44,I70,review,review-treatment,I-44,long-connector,split-parent,I-40,I-90,0,,0,,0,,keep,distinct-parent-service,parent-region-review,regionalizer-review-treatment,review
T2,component-0,I49,I10;I20;I40,selected,selected-treatment,I-49,transfer-spine,split-parent,I-20,I-35,0,,0,,0,,keep,distinct-parent-service,keep-service-column,diagnostic-backed-distinct-service,pass
T2,component-0,I495,I90;I95,selected,selected-treatment,I-495,transfer-spine,single-parent,I-95,I-95,0,,0,,0,,keep,distinct-parent-service,keep-service-column,diagnostic-backed-distinct-service,pass
T2,component-0,I59,I10;I20,selected,selected-treatment,I-59,connector,split-parent,I-10,I-75,0,,0,,0,,keep,distinct-parent-service,keep-service-column,diagnostic-backed-distinct-service,pass
T2,component-0,I610,I10,review,review-treatment,,,,,,0,,0,,0,,,,source-needed,missing-beck-t2-diagnostic,review
