tier,route,candidate_type,graph_kind,split_objective,node_class,route_miles,observed_t1_node_count,observed_dual_contacts,parent_trunks,component_id,component_route_count,component_status,witness_type,repair_action,repair_basis,column_decision,evidence_status,required_artifact,validation_status
T2,I110,route-service-column,dual-route-graph,route-mile-workload,missing_graph_data,79.07759663395173,0,0,,0,1,component-bridged:21,graph-contact-needed,fix-graph-contact-or-demote,missing-t1-contact-evidence,blocked,source-needed,data/tier-contact-witnesses.csv,review
T2,I15,route-service-column,dual-route-graph,route-mile-workload,trunk_connector,2882.0498515577588,6,3,I84;I90,1,18,component-bridged:21,regionalizer-ready,keep-for-regionalizer,touches-multiple-t1-trunks,selected,accepted,data/tier-candidate-columns.csv,pass
T2,I195,route-service-column,dual-route-graph,route-mile-workload,missing_graph_data,183.9437239656403,0,0,,2,1,component-bridged:21,graph-contact-needed,fix-graph-contact-or-demote,missing-t1-contact-evidence,blocked,source-needed,data/tier-contact-witnesses.csv,review
T2,I205,route-service-column,dual-route-graph,route-mile-workload,missing_graph_data,101.2996956423661,0,0,,3,1,component-bridged:21,graph-contact-needed,fix-graph-contact-or-demote,missing-t1-contact-evidence,blocked,source-needed,data/tier-contact-witnesses.csv,review
T2,I22,route-service-column,dual-route-graph,route-mile-workload,missing_graph_data,403.626182125411,0,0,,4,1,component-bridged:21,graph-contact-needed,fix-graph-contact-or-demote,missing-t1-contact-evidence,blocked,source-needed,data/tier-contact-witnesses.csv,review
T2,I220,route-service-column,dual-route-graph,route-mile-workload,local_spur,58.889200974782334,0,0,,5,1,component-bridged:21,tier-demotion-needed,demote-to-t3-t4,local-spur,demote,policy-action,data/tier-table.csv,review
T2,I225,route-service-column,dual-route-graph,route-mile-workload,local_spur,22.247843668413957,0,0,,6,1,component-bridged:21,tier-demotion-needed,demote-to-t3-t4,local-spur,demote,policy-action,data/tier-table.csv,review
T2,I24,route-service-column,dual-route-graph,route-mile-workload,relief_loop,634.6814060642255,3,0,I69,7,1,component-bridged:21,parent-contact-needed,add-parent-contact-or-demote,relief-loop-has-no-dual-route-contact,blocked,source-needed,data/tier-contact-witnesses.csv,review
T2,I240,route-service-column,dual-route-graph,route-mile-workload,missing_graph_data,92.61642981794577,0,1,,1,18,component-bridged:21,graph-contact-needed,fix-graph-contact-or-demote,missing-t1-contact-evidence,blocked,source-needed,data/tier-contact-witnesses.csv,review
T2,I25,route-service-column,dual-route-graph,route-mile-workload,missing_graph_data,2125.8241544628104,0,0,,8,1,component-bridged:21,graph-contact-needed,fix-graph-contact-or-demote,missing-t1-contact-evidence,blocked,source-needed,data/tier-contact-witnesses.csv,review
T2,I264,route-service-column,dual-route-graph,route-mile-workload,missing_graph_data,95.3618769559362,0,1,,9,2,component-bridged:21,graph-contact-needed,fix-graph-contact-or-demote,missing-t1-contact-evidence,blocked,source-needed,data/tier-contact-witnesses.csv,review
T2,I270,route-service-column,dual-route-graph,route-mile-workload,one_ended_feeder,341.7794496022476,1,3,I70,1,18,component-bridged:21,terminal-exception-needed,terminal-exception-or-demote,one-ended-feeder-needs-terminal-worthy-endpoint,blocked,source-needed,data/tier-node-exceptions.csv,review
T2,I275,route-service-column,dual-route-graph,route-mile-workload,missing_graph_data,362.0709655436045,0,0,,10,1,component-bridged:21,graph-contact-needed,fix-graph-contact-or-demote,missing-t1-contact-evidence,blocked,source-needed,data/tier-contact-witnesses.csv,review
