tier,route,witness_type,node_class,route_miles,observed_t1_node_count,observed_parent_trunks,observed_dual_contacts,component_id,component_route_count,component_status,repair_action,repair_basis,evidence_status,required_artifact,validation_status
T2,I110,parent-region-review,relief_loop,79.07759663395173,15,I10,9,0,39,component-bridged:2,keep-with-parent-region-review,relief-loop-shares-parent-service-context,review,data/tier-candidate-columns.csv,review
T2,I15,regionalizer-ready,trunk_connector,2882.0498515577588,8,I70;I84;I90,15,0,39,component-bridged:2,keep-for-regionalizer,touches-multiple-t1-trunks,accepted,data/tier-candidate-columns.csv,pass
T2,I195,regionalizer-ready,trunk_connector,183.9437239656403,14,I64;I95,10,0,39,component-bridged:2,keep-for-regionalizer,touches-multiple-t1-trunks,accepted,data/tier-candidate-columns.csv,pass
T2,I205,parent-region-review,relief_loop,101.2996956423661,7,I5,3,0,39,component-bridged:2,keep-with-parent-region-review,relief-loop-shares-parent-service-context,review,data/tier-candidate-columns.csv,review
T2,I22,graph-contact-needed,missing_graph_data,403.626182125411,0,,0,1,1,component-bridged:2,fix-graph-contact-or-demote,missing-t1-contact-evidence,source-needed,data/tier-contact-witnesses.csv,review
T2,I220,regionalizer-ready,trunk_connector,58.889200974782334,12,I20;I55,9,0,39,component-bridged:2,keep-for-regionalizer,touches-multiple-t1-trunks,accepted,data/tier-candidate-columns.csv,pass
T2,I225,parent-region-review,relief_loop,22.247843668413957,2,I70,9,0,39,component-bridged:2,keep-with-parent-region-review,relief-loop-shares-parent-service-context,review,data/tier-candidate-columns.csv,review
T2,I24,regionalizer-ready,trunk_connector,634.6814060642255,6,I40;I69;I75,10,0,39,component-bridged:2,keep-for-regionalizer,touches-multiple-t1-trunks,accepted,data/tier-candidate-columns.csv,pass
T2,I240,parent-region-review,relief_loop,92.61642981794577,9,I40,10,0,39,component-bridged:2,keep-with-parent-region-review,relief-loop-shares-parent-service-context,review,data/tier-candidate-columns.csv,review
T2,I25,regionalizer-ready,trunk_connector,2125.8241544628104,6,I10;I70;I90,22,0,39,component-bridged:2,keep-for-regionalizer,touches-multiple-t1-trunks,accepted,data/tier-candidate-columns.csv,pass
T2,I264,parent-region-review,relief_loop,95.3618769559362,5,I64,6,0,39,component-bridged:2,keep-with-parent-region-review,relief-loop-shares-parent-service-context,review,data/tier-candidate-columns.csv,review
T2,I270,regionalizer-ready,trunk_connector,341.7794496022476,7,I55;I70,11,0,39,component-bridged:2,keep-for-regionalizer,touches-multiple-t1-trunks,accepted,data/tier-candidate-columns.csv,pass
T2,I275,regionalizer-ready,trunk_connector,362.0709655436045,12,I40;I75,9,0,39,component-bridged:2,keep-for-regionalizer,touches-multiple-t1-trunks,accepted,data/tier-candidate-columns.csv,pass
T2,I285,terminal-exception-needed,one_ended_feeder,172.22132483226093,1,I40,9,0,39,component-bridged:2,terminal-exception-or-demote,one-ended-feeder-needs-terminal-worthy-endpoint,source-needed,data/tier-node-exceptions.csv,review
T2,I29,regionalizer-ready,trunk_connector,1499.3473610974459,4,I35;I70,15,0,39,component-bridged:2,keep-for-regionalizer,touches-multiple-t1-trunks,accepted,data/tier-candidate-columns.csv,pass
T2,I295,regionalizer-ready,trunk_connector,632.901937766097,24,I64;I95,10,0,39,component-bridged:2,keep-for-regionalizer,touches-multiple-t1-trunks,accepted,data/tier-candidate-columns.csv,pass
T2,I30,regionalizer-ready,trunk_connector,755.3684247632106,7,I20;I40;I45,14,0,39,component-bridged:2,keep-for-regionalizer,touches-multiple-t1-trunks,accepted,data/tier-candidate-columns.csv,pass
T2,I37,parent-region-review,relief_loop,287.5145542182414,2,I35,8,0,39,component-bridged:2,keep-with-parent-region-review,relief-loop-shares-parent-service-context,review,data/tier-candidate-columns.csv,review
T2,I405,regionalizer-ready,trunk_connector,213.2352757018074,13,I5;I90,10,0,39,component-bridged:2,keep-for-regionalizer,touches-multiple-t1-trunks,accepted,data/tier-candidate-columns.csv,pass
