tier,route,node_class,route_miles,t1_node_count,parent_trunks,contact_route_count,component_id,component_route_count,component_status,repair_action,repair_basis,next_artifact
T2,I110,missing_graph_data,79.07759663395173,0,,0,0,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I15,trunk_connector,2882.0498515577588,6,I84;I90,3,1,18,component-bridged:21,keep-for-regionalizer,touches-multiple-t1-trunks,data/tier-candidate-columns.csv
T2,I195,missing_graph_data,183.9437239656403,0,,0,2,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I205,missing_graph_data,101.2996956423661,0,,0,3,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I22,missing_graph_data,403.626182125411,0,,0,4,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I220,local_spur,58.889200974782334,0,,0,5,1,component-bridged:21,demote-to-t3-t4,local-spur,data/tier-table.csv
T2,I225,local_spur,22.247843668413957,0,,0,6,1,component-bridged:21,demote-to-t3-t4,local-spur,data/tier-table.csv
T2,I24,relief_loop,634.6814060642255,3,I69,0,7,1,component-bridged:21,add-parent-contact-or-demote,relief-loop-has-no-dual-route-contact,data/tier-contact-witnesses.csv
T2,I240,missing_graph_data,92.61642981794577,0,,1,1,18,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I25,missing_graph_data,2125.8241544628104,0,,0,8,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I264,missing_graph_data,95.3618769559362,0,,1,9,2,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I270,one_ended_feeder,341.7794496022476,1,I70,3,1,18,component-bridged:21,terminal-exception-or-demote,one-ended-feeder-needs-terminal-worthy-endpoint,data/tier-node-exceptions.csv
T2,I275,missing_graph_data,362.0709655436045,0,,0,10,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I285,missing_graph_data,172.22132483226093,0,,1,1,18,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I29,relief_loop,1499.3473610974459,2,I35,1,1,18,component-bridged:21,keep-with-parent-region-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv
T2,I295,missing_graph_data,632.901937766097,0,,0,11,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I30,missing_graph_data,755.3684247632106,0,,1,1,18,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I37,missing_graph_data,287.5145542182414,0,,0,12,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I405,missing_graph_data,213.2352757018074,0,,1,1,18,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I44,missing_graph_data,1272.916100947567,0,,2,1,18,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I49,missing_graph_data,1117.6908164996735,0,,0,13,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I495,relief_loop,564.4274181326756,13,I95,0,14,1,component-bridged:21,add-parent-contact-or-demote,relief-loop-has-no-dual-route-contact,data/tier-contact-witnesses.csv
T2,I59,relief_loop,887.1983600653118,7,I20,1,1,18,component-bridged:21,keep-with-parent-region-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv
T2,I610,missing_graph_data,85.8911060043158,0,,0,15,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I635,missing_graph_data,101.30776232626977,0,,0,16,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
