tier,graph_kind,split_objective,requested_regions,region_id,route,node_class,route_weight,route_miles,t1_node_count,parent_trunk_count,parent_trunks,contact_route_count,component_id,component_route_count,component_status,repair_action,repair_basis,validation_status
T2,dual-route-graph,route-mile-workload,4,0,I110,missing_graph_data,79,79.07759663395173,0,0,,0,0,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,review
T2,dual-route-graph,route-mile-workload,4,0,I15,trunk_connector,2882,2882.0498515577588,6,2,I84;I90,3,1,18,component-bridged:21,keep-for-regionalizer,touches-multiple-t1-trunks,review
T2,dual-route-graph,route-mile-workload,4,2,I195,missing_graph_data,184,183.9437239656403,0,0,,0,2,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,review
T2,dual-route-graph,route-mile-workload,4,2,I205,missing_graph_data,101,101.2996956423661,0,0,,0,3,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,review
T2,dual-route-graph,route-mile-workload,4,2,I22,missing_graph_data,404,403.626182125411,0,0,,0,4,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,review
T2,dual-route-graph,route-mile-workload,4,2,I220,local_spur,59,58.889200974782334,0,0,,0,5,1,component-bridged:21,demote-to-t3-t4,local-spur,review
T2,dual-route-graph,route-mile-workload,4,2,I225,local_spur,22,22.247843668413957,0,0,,0,6,1,component-bridged:21,demote-to-t3-t4,local-spur,review
T2,dual-route-graph,route-mile-workload,4,2,I24,relief_loop,635,634.6814060642255,3,1,I69,0,7,1,component-bridged:21,add-parent-contact-or-demote,relief-loop-has-no-dual-route-contact,review
T2,dual-route-graph,route-mile-workload,4,0,I240,missing_graph_data,93,92.61642981794577,0,0,,1,1,18,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,review
T2,dual-route-graph,route-mile-workload,4,2,I25,missing_graph_data,2126,2125.8241544628104,0,0,,0,8,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,review
T2,dual-route-graph,route-mile-workload,4,2,I264,missing_graph_data,95,95.3618769559362,0,0,,1,9,2,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,review
T2,dual-route-graph,route-mile-workload,4,0,I270,one_ended_feeder,342,341.7794496022476,1,1,I70,3,1,18,component-bridged:21,terminal-exception-or-demote,one-ended-feeder-needs-terminal-worthy-endpoint,review
T2,dual-route-graph,route-mile-workload,4,2,I275,missing_graph_data,362,362.0709655436045,0,0,,0,10,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,review
T2,dual-route-graph,route-mile-workload,4,0,I285,missing_graph_data,172,172.22132483226093,0,0,,1,1,18,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,review
